,id,original_language,title,popularity,vote_average,vote_count,genre,overview,tagline
0,580489,en,Venom: Let There Be Carnage,5401.308,6.8,1736,"['Science Fiction', 'Action', 'Adventure']","After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",
1,524434,en,Eternals,3365.535,7.1,622,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",In the beginning...
2,438631,en,Dune,2911.423,8,3632,"['Action', 'Adventure', 'Science Fiction']","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.","Beyond fear, destiny awaits."
3,796499,en,Army of Thieves,2552.437,6.9,555,"['Action', 'Crime', 'Thriller']",A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,"Before Vegas, one locksmith became a legend."
4,550988,en,Free Guy,1850.47,7.8,3493,"['Comedy', 'Action', 'Adventure', 'Science Fiction']",A bank teller called Guy realizes he is a background character in an open world video game called Free City that will soon go offline.,Life's too short to be a background character.
5,574060,en,Gunpowder Milkshake,1453.423,6.5,347,"['Action', 'Thriller', 'Crime']","In her turbulent life as a professional assassin, Sam has no choice but to go rogue to save the life of an innocent 8-year-old girl in the middle of the gang war she has unleashed.",Revenge is best served ice cold.
6,335983,en,Venom,1212.352,6.8,12126,"['Science Fiction', 'Action']","Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",The world has enough Superheroes.
7,610253,en,Halloween Kills,1023.024,7,1134,"['Horror', 'Thriller']","Minutes after Laurie Strode, her daughter Karen and granddaughter Allyson left masked monster Michael Myers caged and burning in Laurie's basement, Laurie is rushed to the hospital with life-threatening injuries, believing she finally killed her lifelong tormentor. But when Michael manages to free himself from Laurie's trap, his ritual bloodbath resumes. As Laurie fights her pain and prepares to defend herself against him, she inspires all of Haddonfield to rise up against their unstoppable monster. The Strode women join a group of other survivors of Michael's first rampage who decide to take matters into their own hands, forming a vigilante mob that sets out to hunt Michael down, once and for all.",Evil dies tonight.
9,768449,en,American Badger,1148.822,6.3,14,"['Action', 'Thriller']","A seemingly cold-blooded hitman is assigned to befriend a call girl, but all hell breaks loose when he is assigned to kill her.",Justice Before Redemption
10,639721,en,The Addams Family 2,1031.821,7.4,562,"['Animation', 'Comedy', 'Family']",The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,Unhappy to see you again.
12,566525,en,Shang-Chi and the Legend of the Ten Rings,1327.18,7.7,1414,"['Action', 'Adventure', 'Fantasy']",Shang-Chi must confront the past he thought he left behind when he is drawn into the web of the mysterious Ten Rings organization.,You can't outrun your destiny.
13,568620,en,Snake Eyes: G.I. Joe Origins,1052.222,6.9,786,"['Action', 'Adventure']","After saving the life of their heir apparent, tenacious loner Snake Eyes is welcomed into an ancient Japanese clan called the Arashikage where he is taught the ways of the ninja warrior. But, when secrets from his past are revealed, Snake Eyes' honor and allegiance will be tested – even if that means losing the trust of those closest to him.",Every warrior has a beginning.
